"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
Red Urchin,6BC,2014,2,82,9,6730,76415,,
Red Urchin,6BC,2014,2,83,2,540,*,,
Red Urchin,6BC,2014,2,85,3,1630,27035,,
Red Urchin,6BC,2014,2,87,12,2785,48183,,
Red Urchin,6BC,2014,2,88,3,3005,38964,,
Red Urchin,6BC,2014,2,92,2,1220,*,,
Red Urchin,6BC,2014,2,93,3,1790,24649,,
Red Urchin,6BC,2014,2,96,1,420,*,,
Red Urchin,6BC,2014,2,97,3,1200,23823,,
Red Urchin,6BC,2014,2,98,4,1592,31869,,
Red Urchin,6BC,2014,2,99,1,900,*,,
Red Urchin,6BC,2014,2,Total,20,114191,1566821,,
Red Urchin,6BC,2014,3,1,16,23130,**,,
Red Urchin,6BC,2014,3,3,1,420,*,,
Red Urchin,6BC,2014,3,Total,16,23550,312772,,
Red Urchin,6BC,2014,4,1,12,8391,104859,,
Red Urchin,6BC,2014,4,2,15,19165,267041,,
Red Urchin,6BC,2014,4,3,11,9815,126059,,
Red Urchin,6BC,2014,4,4,1,800,*,,
Red Urchin,6BC,2014,4,9,12,8425,105159,,
Red Urchin,6BC,2014,4,12,3,1320,**,,
Red Urchin,6BC,2014,4,13,20,27025,340605,,
Red Urchin,6BC,2014,4,Total,24,74941,966901,,
Red Urchin,6BC,2014,5,9,4,1860,15722,,
Red Urchin,6BC,2014,5,10,15,11228,134379,,
Red Urchin,6BC,2014,5,11,6,3635,50481,,
Red Urchin,6BC,2014,5,12,6,2845,25406,,
Red Urchin,6BC,2014,5,13,10,13862,160226,,
Red Urchin,6BC,2014,5,17,8,6070,70865,,
Red Urchin,6BC,2014,5,20,13,25046,364969,,
Red Urchin,6BC,2014,5,21,13,8800,126440,,
Red Urchin,6BC,2014,5,22,8,10815,154939,,
Red Urchin,6BC,2014,5,Total,18,84161,1103427,,
Red Urchin,6BC,2014,6,9,24,60241,821527,,
Red Urchin,6BC,2014,6,10,20,14199,192185,,
Red Urchin,6BC,2014,6,13,25,47594,628586,,
Red Urchin,6BC,2014,6,15,4,1300,13487,,
Red Urchin,6BC,2014,6,16,15,10400,107910,,
Red Urchin,6BC,2014,6,17,21,15514,167316,,
Red Urchin,6BC,2014,6,Total,29,149248,1931011,,
Red Urchin,6BC,2014,7,4,10,6755,68356,,
Red Urchin,6BC,2014,7,5,5,2060,**,,
Red Urchin,6BC,2014,7,6,1,150,*,,
Red Urchin,6BC,2014,7,9,11,6325,64071,,
Red Urchin,6BC,2014,7,Total,12,15290,146611,,
Red Urchin,6BC,2014,10,1,4,2957,**,,
Red Urchin,6BC,2014,10,2,2,1485,*,,
Red Urchin,6BC,2014,10,3,3,4825,57541,,
Red Urchin,6BC,2014,10,Total,4,9267,112484,,
Red Urchin,6BC,2014,12,1,2,3480,*,,
Red Urchin,6BC,2014,12,2,1,400,*,,
Red Urchin,6BC,2014,12,5,5,2770,34345,,
Red Urchin,6BC,2014,12,6,2,1435,*,,
Red Urchin,6BC,2014,12,7,1,95,*,,
Red Urchin,6BC,2014,12,8,2,2215,*,,
Red Urchin,6BC,2014,12,13,5,16350,201699,,
Red Urchin,6BC,2014,12,18,8,14980,164574,,
Red Urchin,6BC,2014,12,19,5,3534,46571,,
Red Urchin,6BC,2014,12,39,1,240,*,,
Red Urchin,6BC,2014,12,41,1,470,*,,
Red Urchin,6BC,2014,12,Total,11,45969,535532,,
Red Urchin,6BC,2014,13,1,5,10085,109809,,
Red Urchin,6BC,2014,13,2,2,1360,*,,
Red Urchin,6BC,2014,13,3,2,1575,*,,
Red Urchin,6BC,2014,13,9,1,1360,*,,
Red Urchin,6BC,2014,13,10,4,2480,28984,,
Red Urchin,6BC,2014,13,11,1,970,*,,
Red Urchin,6BC,2014,13,12,3,1150,15021,,
Red Urchin,6BC,2014,13,14,1,160,*,,
Red Urchin,6BC,2014,13,23,2,2645,*,,
Red Urchin,6BC,2014,13,25,2,2970,*,,
Red Urchin,6BC,2014,13,28,5,2925,32023,,
Red Urchin,6BC,2014,13,31,2,3160,*,,
Red Urchin,6BC,2014,13,32,3,1020,16297,,
Red Urchin,6BC,2014,13,33,3,2540,34340,,
Red Urchin,6BC,2014,13,41,2,730,*,,
Red Urchin,6BC,2014,13,Total,8,35130,402891,,
Red Urchin,6BC,2014,14,7,2,860,*,,
Red Urchin,6BC,2014,14,12,1,500,*,,
Red Urchin,6BC,2014,14,13,2,1855,*,,
Red Urchin,6BC,2014,14,Total,3,3215,50082,,
Red Urchin,6BC,2014,17,2,1,390,*,,
Red Urchin,6BC,2014,17,3,1,1140,*,,
Red Urchin,6BC,2014,17,17,1,120,*,,
Red Urchin,6BC,2014,17,Total,2,1650,*,,
Red Urchin,6BC,2014,18,2,2,2895,*,,
Red Urchin,6BC,2014,18,3,1,345,*,,
Red Urchin,6BC,2014,18,5,1,100,*,,
Red Urchin,6BC,2014,18,6,2,798,*,,
Red Urchin,6BC,2014,18,Total,3,4138,41458,,
Red Urchin,6BC,2014,19,3,1,2186,*,,
Red Urchin,6BC,2014,19,4,1,3400,*,,
Red Urchin,6BC,2014,19,5,2,1230,*,,
Red Urchin,6BC,2014,19,Total,2,6816,*,,
Red Urchin,6BC,2014,20,5,1,1605,*,,
Red Urchin,6BC,2014,20,Total,1,1605,*,,
Red Urchin,6BC,2014,23,7,1,4160,*,,
Red Urchin,6BC,2014,23,11,1,2280,*,,
Red Urchin,6BC,2014,23,Total,1,6440,*,,
Red Urchin,6BC,2014,29,4,2,940,*,,
Red Urchin,6BC,2014,29,5,1,395,*,,
Red Urchin,6BC,2014,29,Total,3,1335,14089,,
Red Urchin,6BC,2014,101,2,2,960,*,,
Red Urchin,6BC,2014,101,6,1,630,*,,
Red Urchin,6BC,2014,101,7,2,1440,*,,
Red Urchin,6BC,2014,101,Total,4,3030,66488,,
Red Urchin,6BC,2014,105,1,11,7347,**,,
Red Urchin,6BC,2014,105,2,1,1180,*,,
Red Urchin,6BC,2014,105,Total,11,8527,128263,,
Red Urchin,6BC,2014,106,2,19,20977,289300,,
Red Urchin,6BC,2014,106,Total,19,20977,289300,,
Red Urchin,6BC,2014,142,2,1,970,*,,
Red Urchin,6BC,2014,142,Total,1,970,*,,
Red Urchin,6BC,2015,1,1,2,1100,*,,
Red Urchin,6BC,2015,1,2,18,16813,222193,,
Red Urchin,6BC,2015,1,3,10,4561,58877,,
Red Urchin,6BC,2015,1,7,4,2280,**,,
Red Urchin,6BC,2015,1,Total,18,24754,332138,,
Red Urchin,6BC,2015,2,8,16,8808,116432,,
Red Urchin,6BC,2015,2,12,16,3951,53022,,
Red Urchin,6BC,2015,2,13,2,540,*,,
Red Urchin,6BC,2015,2,14,19,11790,155869,,
Red Urchin,6BC,2015,2,15,7,2486,35816,,
Red Urchin,6BC,2015,2,17,19,9218,120650,,
Red Urchin,6BC,2015,2,18,16,12933,171158,,
Red Urchin,6BC,2015,2,31,19,13297,216835,,
Red Urchin,6BC,2015,2,34,1,250,*,,
Red Urchin,6BC,2015,2,49,3,3620,40672,,
Red Urchin,6BC,2015,2,50,3,5040,48373,,
Red Urchin,6BC,2015,2,51,2,540,*,,
Red Urchin,6BC,2015,2,53,1,460,*,,
Red Urchin,6BC,2015,2,60,1,360,*,,
Red Urchin,6BC,2015,2,69,2,1090,*,,
Red Urchin,6BC,2015,2,71,4,1800,28435,,
Red Urchin,6BC,2015,2,73,3,955,14291,,
Red Urchin,6BC,2015,2,74,1,240,*,,
Red Urchin,6BC,2015,2,75,8,3703,49844,,
Red Urchin,6BC,2015,2,78,3,1470,19938,,
Red Urchin,6BC,2015,2,79,4,890,14366,,
Red Urchin,6BC,2015,2,80,1,400,*,,
Red Urchin,6BC,2015,2,82,6,1890,32539,,
Red Urchin,6BC,2015,2,85,1,100,*,,
Red Urchin,6BC,2015,2,86,1,780,*,,
Red Urchin,6BC,2015,2,87,13,4339,60624,,
Red Urchin,6BC,2015,2,88,9,2525,38562,,
Red Urchin,6BC,2015,2,89,1,230,*,,
Red Urchin,6BC,2015,2,92,1,480,*,,
Red Urchin,6BC,2015,2,93,4,1739,19397,,
Red Urchin,6BC,2015,2,95,1,280,*,,
Red Urchin,6BC,2015,2,96,3,755,7534,,
Red Urchin,6BC,2015,2,99,1,65,*,,
Red Urchin,6BC,2015,2,Total,24,97024,1321858,,
Red Urchin,6BC,2015,3,1,18,28465,361004,,
Red Urchin,6BC,2015,3,Total,18,28465,361004,,
Red Urchin,6BC,2015,4,1,19,23355,300120,,
Red Urchin,6BC,2015,4,2,8,18575,223706,,
Red Urchin,6BC,2015,4,3,10,5716,77718,,
Red Urchin,6BC,2015,4,4,1,100,*,,
Red Urchin,6BC,2015,4,5,1,270,*,,
Red Urchin,6BC,2015,4,9,5,1810,17837,,
Red Urchin,6BC,2015,4,13,21,27067,332462,,
Red Urchin,6BC,2015,4,Total,25,76893,957508,,
Red Urchin,6BC,2015,5,9,3,1765,18380,,
Red Urchin,6BC,2015,5,10,12,8520,98756,,
Red Urchin,6BC,2015,5,11,6,5025,66741,,
Red Urchin,6BC,2015,5,12,15,7535,87370,,
Red Urchin,6BC,2015,5,13,14,12225,136496,,
Red Urchin,6BC,2015,5,17,17,17488,200035,,
Red Urchin,6BC,2015,5,18,1,180,*,,
Red Urchin,6BC,2015,5,19,1,100,*,,
Red Urchin,6BC,2015,5,20,15,22020,290726,,
Red Urchin,6BC,2015,5,21,5,6305,84726,,
Red Urchin,6BC,2015,5,22,21,31221,480448,,
Red Urchin,6BC,2015,5,Total,28,112384,1470857,,
Red Urchin,6BC,2015,6,9,24,68488,923031,,
Red Urchin,6BC,2015,6,10,16,22026,330984,,
Red Urchin,6BC,2015,6,13,22,36504,508359,,
Red Urchin,6BC,2015,6,14,3,3630,37391,,
Red Urchin,6BC,2015,6,15,2,1000,*,,
Red Urchin,6BC,2015,6,16,13,13244,153797,,
Red Urchin,6BC,2015,6,17,13,12088,148378,,
Red Urchin,6BC,2015,6,19,5,3325,**,,
Red Urchin,6BC,2015,6,Total,29,160305,2147624,,
Red Urchin,6BC,2015,7,3,7,9512,91099,,
Red Urchin,6BC,2015,7,4,8,7331,**,,
Red Urchin,6BC,2015,7,5,1,250,*,,
Red Urchin,6BC,2015,7,9,6,9350,100229,,
Red Urchin,6BC,2015,7,Total,10,26443,268021,,
Red Urchin,6BC,2015,9,1,4,2465,28558,,
Red Urchin,6BC,2015,9,2,5,1630,17779,,
Red Urchin,6BC,2015,9,11,3,1480,18854,,
Red Urchin,6BC,2015,9,Total,7,5575,65191,,
Red Urchin,6BC,2015,10,1,5,3050,39660,,
Red Urchin,6BC,2015,10,2,2,220,*,,
Red Urchin,6BC,2015,10,4,1,240,*,,
Red Urchin,6BC,2015,10,Total,7,3510,42993,,
Red Urchin,6BC,2015,12,1,4,3875,61964,,
Red Urchin,6BC,2015,12,2,2,1000,*,,
Red Urchin,6BC,2015,12,3,7,3220,27853,,
Red Urchin,6BC,2015,12,4,1,230,*,,
Red Urchin,6BC,2015,12,5,9,11359,125021,,
Red Urchin,6BC,2015,12,6,4,5133,41573,,
Red Urchin,6BC,2015,12,7,5,2345,24903,,
Red Urchin,6BC,2015,12,8,3,6615,68539,,
Red Urchin,6BC,2015,12,13,6,8820,90577,,
Red Urchin,6BC,2015,12,16,2,1927,*,,
Red Urchin,6BC,2015,12,18,10,11451,114785,,
Red Urchin,6BC,2015,12,19,5,5560,62573,,
Red Urchin,6BC,2015,12,20,2,630,*,,
Red Urchin,6BC,2015,12,39,2,1560,*,,
Red Urchin,6BC,2015,12,Total,15,63725,677511,,
Red Urchin,6BC,2015,13,1,5,8930,78114,,
Red Urchin,6BC,2015,13,2,2,580,*,,
Red Urchin,6BC,2015,13,3,1,80,*,,
Red Urchin,6BC,2015,13,7,1,1050,*,,
Red Urchin,6BC,2015,13,9,1,300,*,,
Red Urchin,6BC,2015,13,10,1,80,*,,
Red Urchin,6BC,2015,13,12,1,1960,*,,
Red Urchin,6BC,2015,13,15,2,1280,*,,
Red Urchin,6BC,2015,13,28,2,1990,*,,
Red Urchin,6BC,2015,13,29,1,600,*,,
Red Urchin,6BC,2015,13,30,1,1510,*,,
Red Urchin,6BC,2015,13,31,1,120,*,,
Red Urchin,6BC,2015,13,32,2,555,*,,
Red Urchin,6BC,2015,13,33,2,4520,*,,
Red Urchin,6BC,2015,13,35,1,1020,*,,
Red Urchin,6BC,2015,13,39,2,610,*,,
Red Urchin,6BC,2015,13,41,1,600,*,,
Red Urchin,6BC,2015,13,Total,8,25785,219317,,
Red Urchin,6BC,2015,17,2,1,460,*,,
Red Urchin,6BC,2015,17,3,1,1180,*,,
Red Urchin,6BC,2015,17,10,1,460,*,,
Red Urchin,6BC,2015,17,17,1,1990,*,,
Red Urchin,6BC,2015,17,Total,2,4090,*,,
Red Urchin,6BC,2015,18,1,1,120,*,,
Red Urchin,6BC,2015,18,2,2,4005,*,,
Red Urchin,6BC,2015,18,3,1,125,*,,
Red Urchin,6BC,2015,18,4,1,2350,*,,
Red Urchin,6BC,2015,18,5,2,2460,*,,
Red Urchin,6BC,2015,18,6,1,1090,*,,
Red Urchin,6BC,2015,18,Total,2,10150,*,,
Red Urchin,6BC,2015,19,3,1,1280,*,,
Red Urchin,6BC,2015,19,4,3,7295,62285,,
Red Urchin,6BC,2015,19,5,2,2250,*,,
Red Urchin,6BC,2015,19,Total,3,10825,90347,,
Red Urchin,6BC,2015,20,5,3,3690,29983,,
Red Urchin,6BC,2015,20,Total,3,3690,29983,,
Red Urchin,6BC,2015,23,5,1,680,*,,
Red Urchin,6BC,2015,23,11,1,1515,*,,
Red Urchin,6BC,2015,23,Total,1,2195,*,,
Red Urchin,6BC,2015,101,2,1,400,*,,
Red Urchin,6BC,2015,101,6,4,3435,34464,,
Red Urchin,6BC,2015,101,7,3,1759,**,,
Red Urchin,6BC,2015,101,Total,6,5594,65002,,
Red Urchin,6BC,2015,105,1,9,5365,76235,,
Red Urchin,6BC,2015,105,Total,9,5365,76235,,
Red Urchin,6BC,2015,106,2,17,20680,298728,,
Red Urchin,6BC,2015,106,Total,17,20680,298728,,
Red Urchin,6BC,2015,123,3,1,890,*,,
Red Urchin,6BC,2015,123,Total,1,890,*,,
Red Urchin,6BC,2016,1,1,5,2450,35757,,
Red Urchin,6BC,2016,1,2,19,14827,200871,,
Red Urchin,6BC,2016,1,3,17,5795,85475,,
Red Urchin,6BC,2016,1,7,5,1855,24447,,
Red Urchin,6BC,2016,1,Total,23,24927,346550,,
Red Urchin,6BC,2016,2,8,15,9286,114011,,
Red Urchin,6BC,2016,2,12,8,4798,63853,,
Red Urchin,6BC,2016,2,14,16,11440,127807,,
Red Urchin,6BC,2016,2,15,11,5448,61670,,
Red Urchin,6BC,2016,2,17,18,7970,91741,,
Red Urchin,6BC,2016,2,18,14,15162,163613,,
Red Urchin,6BC,2016,2,19,4,3500,30074,,
Red Urchin,6BC,2016,2,31,16,13850,198932,,
Red Urchin,6BC,2016,2,49,7,3910,35982,,
Red Urchin,6BC,2016,2,50,6,3125,30988,,
Red Urchin,6BC,2016,2,51,1,440,*,,
Red Urchin,6BC,2016,2,60,1,200,*,,
Red Urchin,6BC,2016,2,68,13,5566,74169,,
Red Urchin,6BC,2016,2,71,1,200,*,,
Red Urchin,6BC,2016,2,73,1,300,*,,
Red Urchin,6BC,2016,2,74,1,360,*,,
Red Urchin,6BC,2016,2,75,12,6765,75987,,
Red Urchin,6BC,2016,2,78,2,1600,*,,
Red Urchin,6BC,2016,2,79,1,90,*,,
Red Urchin,6BC,2016,2,80,3,1110,10984,,
Red Urchin,6BC,2016,2,81,1,320,*,,
Red Urchin,6BC,2016,2,82,9,5380,53421,,
Red Urchin,6BC,2016,2,87,18,7239,80675,,
Red Urchin,6BC,2016,2,88,4,1968,25364,,
Red Urchin,6BC,2016,2,89,2,1300,*,,
Red Urchin,6BC,2016,2,90,1,110,*,,
Red Urchin,6BC,2016,2,92,2,1270,*,,
Red Urchin,6BC,2016,2,93,1,560,*,,
Red Urchin,6BC,2016,2,96,1,400,*,,
Red Urchin,6BC,2016,2,98,5,2640,37917,,
Red Urchin,6BC,2016,2,99,2,920,*,,
Red Urchin,6BC,2016,2,Total,26,117227,1376194,,
Red Urchin,6BC,2016,3,1,15,18740,223816,,
Red Urchin,6BC,2016,3,Total,15,18740,223816,,
Red Urchin,6BC,2016,4,1,12,14318,155436,,
Red Urchin,6BC,2016,4,2,17,15605,181658,,
Red Urchin,6BC,2016,4,3,10,8685,100234,,
Red Urchin,6BC,2016,4,4,4,1040,15318,,
Red Urchin,6BC,2016,4,9,16,4605,65465,,
Red Urchin,6BC,2016,4,12,5,4138,35746,,
Red Urchin,6BC,2016,4,13,21,18421,224266,,
Red Urchin,6BC,2016,4,Total,27,66812,778123,,
Red Urchin,6BC,2016,5,9,2,580,*,,
Red Urchin,6BC,2016,5,10,12,5729,48761,,
Red Urchin,6BC,2016,5,11,5,2300,40213,,
Red Urchin,6BC,2016,5,12,9,3820,36045,,
Red Urchin,6BC,2016,5,13,13,4973,57971,,
Red Urchin,6BC,2016,5,20,22,44813,520147,,
Red Urchin,6BC,2016,5,21,4,1600,**,,
Red Urchin,6BC,2016,5,22,16,31232,411712,,
Red Urchin,6BC,2016,5,Total,26,95047,1147325,,
Red Urchin,6BC,2016,6,9,22,63116,785683,,
Red Urchin,6BC,2016,6,10,12,16497,237887,,
Red Urchin,6BC,2016,6,13,19,36063,421445,,
Red Urchin,6BC,2016,6,17,13,8485,102158,,
Red Urchin,6BC,2016,6,Total,23,124161,1547173,,
Red Urchin,6BC,2016,7,1,1,520,*,,
Red Urchin,6BC,2016,7,2,3,1930,25511,,
Red Urchin,6BC,2016,7,3,8,10436,99077,,
Red Urchin,6BC,2016,7,4,4,4873,39691,,
Red Urchin,6BC,2016,7,5,4,3085,18973,,
Red Urchin,6BC,2016,7,6,1,320,*,,
Red Urchin,6BC,2016,7,9,6,13489,124257,,
Red Urchin,6BC,2016,7,31,1,230,*,,
Red Urchin,6BC,2016,7,Total,9,34883,320615,,
Red Urchin,6BC,2016,12,1,4,1535,17977,,
Red Urchin,6BC,2016,12,2,5,3873,53059,,
Red Urchin,6BC,2016,12,3,5,2735,32716,,
Red Urchin,6BC,2016,12,4,1,150,*,,
Red Urchin,6BC,2016,12,5,6,7670,58658,,
Red Urchin,6BC,2016,12,6,5,3440,29470,,
Red Urchin,6BC,2016,12,7,2,750,*,,
Red Urchin,6BC,2016,12,8,5,8088,81774,,
Red Urchin,6BC,2016,12,17,1,240,*,,
Red Urchin,6BC,2016,12,18,11,13736,136880,,
Red Urchin,6BC,2016,12,19,4,2725,34577,,
Red Urchin,6BC,2016,12,21,4,1247,12990,,
Red Urchin,6BC,2016,12,39,1,1170,*,,
Red Urchin,6BC,2016,12,Total,15,47359,479536,,
Red Urchin,6BC,2016,13,1,9,16895,139640,,
Red Urchin,6BC,2016,13,6,1,190,*,,
Red Urchin,6BC,2016,13,7,2,640,*,,
Red Urchin,6BC,2016,13,8,1,240,*,,
Red Urchin,6BC,2016,13,9,1,600,*,,
Red Urchin,6BC,2016,13,11,1,200,*,,
Red Urchin,6BC,2016,13,12,2,1500,*,,
Red Urchin,6BC,2016,13,15,2,2360,*,,
Red Urchin,6BC,2016,13,25,2,560,*,,
Red Urchin,6BC,2016,13,29,1,40,*,,
Red Urchin,6BC,2016,13,30,1,400,*,,
Red Urchin,6BC,2016,13,32,1,900,*,,
Red Urchin,6BC,2016,13,33,3,3030,18604,,
Red Urchin,6BC,2016,13,35,3,710,7013,,
Red Urchin,6BC,2016,13,39,1,180,*,,
Red Urchin,6BC,2016,13,40,1,120,*,,
Red Urchin,6BC,2016,13,41,2,935,*,,
Red Urchin,6BC,2016,13,Total,12,29500,242551,,
Red Urchin,6BC,2016,14,7,1,4700,*,,
Red Urchin,6BC,2016,14,9,1,1080,*,,
Red Urchin,6BC,2016,14,12,1,2280,*,,
Red Urchin,6BC,2016,14,13,2,3545,*,,
Red Urchin,6BC,2016,14,Total,2,11605,*,,
Red Urchin,6BC,2016,17,1,1,80,*,,
Red Urchin,6BC,2016,17,2,1,300,*,,
Red Urchin,6BC,2016,17,3,2,1045,*,,
Red Urchin,6BC,2016,17,10,2,1350,*,,
Red Urchin,6BC,2016,17,17,1,800,*,,
Red Urchin,6BC,2016,17,Total,3,3575,36465,,
Red Urchin,6BC,2016,18,1,1,560,*,,
Red Urchin,6BC,2016,18,2,2,1105,*,,
Red Urchin,6BC,2016,18,4,1,800,*,,
Red Urchin,6BC,2016,18,5,2,3980,*,,
Red Urchin,6BC,2016,18,6,1,580,*,,
Red Urchin,6BC,2016,18,11,1,420,*,,
Red Urchin,6BC,2016,18,Total,3,7445,61255,,
Red Urchin,6BC,2016,19,3,1,1240,*,,
Red Urchin,6BC,2016,19,4,2,4020,*,,
Red Urchin,6BC,2016,19,5,1,2500,*,,
Red Urchin,6BC,2016,19,Total,2,7760,*,,
Red Urchin,6BC,2016,20,5,1,2530,*,,
Red Urchin,6BC,2016,20,Total,1,2530,*,,
Red Urchin,6BC,2016,23,5,2,4640,*,,
Red Urchin,6BC,2016,23,6,1,1320,*,,
Red Urchin,6BC,2016,23,7,3,4100,25936,,
Red Urchin,6BC,2016,23,11,2,2723,*,,
Red Urchin,6BC,2016,23,Total,4,12783,79117,,
Red Urchin,6BC,2016,29,4,1,380,*,,
Red Urchin,6BC,2016,29,Total,1,380,*,,
Red Urchin,6BC,2016,101,6,5,3955,48087,,
Red Urchin,6BC,2016,101,7,4,2443,36037,,
Red Urchin,6BC,2016,101,Total,8,6398,84124,,
Red Urchin,6BC,2016,105,1,7,9521,129899,,
Red Urchin,6BC,2016,105,Total,7,9521,129899,,
Red Urchin,6BC,2016,106,1,1,330,*,,
Red Urchin,6BC,2016,106,2,17,11278,**,,
Red Urchin,6BC,2016,106,Total,18,11608,130235,,
Red Urchin,6BC,2016,123,5,1,300,*,,
Red Urchin,6BC,2016,123,Total,1,300,*,,
Red Urchin,6BC,2016,142,1,1,560,*,,
Red Urchin,6BC,2016,142,2,3,2400,**,,
Red Urchin,6BC,2016,142,Total,4,2960,32693,,
Red Urchin,6BC,2017,1,1,22,11575,128749,,
Red Urchin,6BC,2017,1,2,17,10067,133827,,
Red Urchin,6BC,2017,1,3,8,2275,**,,
Red Urchin,6BC,2017,1,7,2,730,*,,
Red Urchin,6BC,2017,1,Total,22,24647,303519,,
Red Urchin,6BC,2017,2,8,19,12181,108086,,
Red Urchin,6BC,2017,2,9,1,160,*,,
Red Urchin,6BC,2017,2,10,4,1480,9154,,
Red Urchin,6BC,2017,2,12,22,10508,80836,,
Red Urchin,6BC,2017,2,13,2,610,*,,
Red Urchin,6BC,2017,2,14,20,12981,137274,,
Red Urchin,6BC,2017,2,15,14,7350,66600,,
Red Urchin,6BC,2017,2,17,25,11506,121299,,
Red Urchin,6BC,2017,2,18,15,12000,131704,,
Red Urchin,6BC,2017,2,19,9,4148,33599,,
Red Urchin,6BC,2017,2,31,21,16373,221143,,
Red Urchin,6BC,2017,2,68,7,4700,81517,,
Red Urchin,6BC,2017,2,69,3,860,13988,,
Red Urchin,6BC,2017,2,71,4,1570,24567,,
Red Urchin,6BC,2017,2,73,3,830,10259,,
Red Urchin,6BC,2017,2,74,1,400,*,,
Red Urchin,6BC,2017,2,75,8,3217,30378,,
Red Urchin,6BC,2017,2,78,9,3700,42599,,
Red Urchin,6BC,2017,2,79,6,3636,23587,,
Red Urchin,6BC,2017,2,80,3,870,8619,,
Red Urchin,6BC,2017,2,81,2,410,*,,
Red Urchin,6BC,2017,2,82,7,3784,35910,,
Red Urchin,6BC,2017,2,85,4,799,10161,,
Red Urchin,6BC,2017,2,86,6,2550,31013,,
Red Urchin,6BC,2017,2,87,8,2584,37131,,
Red Urchin,6BC,2017,2,88,10,4914,51464,,
Red Urchin,6BC,2017,2,89,2,690,*,,
Red Urchin,6BC,2017,2,90,1,140,*,,
Red Urchin,6BC,2017,2,96,2,420,*,,
Red Urchin,6BC,2017,2,97,4,1580,19062,,
Red Urchin,6BC,2017,2,98,6,2220,25913,,
Red Urchin,6BC,2017,2,99,1,300,*,,
Red Urchin,6BC,2017,2,Total,27,129471,1387775,,
Red Urchin,6BC,2017,3,1,11,12775,**,,
Red Urchin,6BC,2017,3,3,1,185,*,,
Red Urchin,6BC,2017,3,Total,11,12960,153563,,
Red Urchin,6BC,2017,4,1,12,20903,183273,,
Red Urchin,6BC,2017,4,2,16,21595,213098,,
Red Urchin,6BC,2017,4,3,4,7845,97358,,
Red Urchin,6BC,2017,4,4,2,3720,*,,
Red Urchin,6BC,2017,4,5,1,80,*,,
Red Urchin,6BC,2017,4,9,15,13275,112655,,
Red Urchin,6BC,2017,4,12,5,1625,17794,,
Red Urchin,6BC,2017,4,13,16,27398,258140,,
Red Urchin,6BC,2017,4,Total,25,96441,913277,,
Red Urchin,6BC,2017,5,9,5,8645,72446,,
Red Urchin,6BC,2017,5,10,9,4109,34316,,
Red Urchin,6BC,2017,5,11,5,2970,33147,,
Red Urchin,6BC,2017,5,12,10,4680,49294,,
Red Urchin,6BC,2017,5,13,13,11422,100983,,
Red Urchin,6BC,2017,5,14,4,1242,**,,
Red Urchin,6BC,2017,5,16,2,550,*,,
Red Urchin,6BC,2017,5,17,13,6054,52702,,
Red Urchin,6BC,2017,5,20,19,14870,185916,,
Red Urchin,6BC,2017,5,21,9,6645,75977,,
Red Urchin,6BC,2017,5,22,18,14400,161942,,
Red Urchin,6BC,2017,5,Total,30,75587,783377,,
Red Urchin,6BC,2017,6,9,28,76443,858094,,
Red Urchin,6BC,2017,6,10,11,10250,162928,,
Red Urchin,6BC,2017,6,11,3,719,**,,
Red Urchin,6BC,2017,6,13,19,32114,333818,,
Red Urchin,6BC,2017,6,14,1,200,*,,
Red Urchin,6BC,2017,6,15,4,2980,24494,,
Red Urchin,6BC,2017,6,16,5,4020,44899,,
Red Urchin,6BC,2017,6,17,9,9265,87714,,
Red Urchin,6BC,2017,6,Total,30,135991,1519998,,
Red Urchin,6BC,2017,7,4,3,300,**,,
Red Urchin,6BC,2017,7,5,4,1620,14248,,
Red Urchin,6BC,2017,7,6,4,810,10485,,
Red Urchin,6BC,2017,7,31,1,600,*,,
Red Urchin,6BC,2017,7,Total,6,3330,31771,,
Red Urchin,6BC,2017,12,1,3,1020,12265,,
Red Urchin,6BC,2017,12,2,5,4190,37938,,
Red Urchin,6BC,2017,12,3,7,2440,24401,,
Red Urchin,6BC,2017,12,5,10,9580,76040,,
Red Urchin,6BC,2017,12,6,9,11283,75719,,
Red Urchin,6BC,2017,12,7,2,1540,*,,
Red Urchin,6BC,2017,12,8,4,4610,38622,,
Red Urchin,6BC,2017,12,17,2,1500,*,,
Red Urchin,6BC,2017,12,18,9,16713,179026,,
Red Urchin,6BC,2017,12,19,7,9458,100434,,
Red Urchin,6BC,2017,12,20,1,310,*,,
Red Urchin,6BC,2017,12,21,2,410,*,,
Red Urchin,6BC,2017,12,26,1,300,*,,
Red Urchin,6BC,2017,12,39,3,2220,9834,,
Red Urchin,6BC,2017,12,Total,13,65574,588619,,
Red Urchin,6BC,2017,13,1,2,3981,*,,
Red Urchin,6BC,2017,13,2,2,5990,*,,
Red Urchin,6BC,2017,13,7,1,1100,*,,
Red Urchin,6BC,2017,13,10,1,160,*,,
Red Urchin,6BC,2017,13,12,2,340,*,,
Red Urchin,6BC,2017,13,15,2,8700,*,,
Red Urchin,6BC,2017,13,28,2,490,*,,
